m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
8,8,8,False,True,0.05056899999908637,0.010290999998687766,7557,92,4343,1005
16,16,16,False,True,0.037352999999711756,0.007198999999673106,5482,267,2419,977
32,32,32,False,True,0.04065500000069733,0.009933000001183245,7912,1304,1831,2893
64,64,64,False,True,0.07173700000021199,0.04910100000051898,35380,7091,3767,21264
128,128,128,False,True,0.174723999998605,0.5103060000001278,207260,17669,8338,169259
256,256,256,False,True,0.5498260000003938,3.790655999999217,1526191,61604,22969,1371437
512,512,512,False,True,2.2485949999991135,29.933458999999857,11722865,236767,66639,10951475
