m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
32,32,32,False,False,0.07360700000003817,0.019893000000024585,14382,1800,4546,5780
32,32,32,False,True,0.0409429999999702,0.011627999999973326,12981,1771,3422,5473
32,32,32,True,False,0.05051000000003114,0.012177999999948952,12454,1842,3221,5324
32,32,32,True,True,0.04088400000000547,0.011710999999991145,12428,1908,2946,5341
32,64,64,False,False,0.05917999999996937,0.06627000000003136,30262,6032,3334,18395
32,64,64,False,True,0.052284000000099695,0.05850199999997585,31307,5371,4278,18585
32,64,64,True,False,0.05056999999999334,0.04676699999993161,30006,6002,3374,18146
32,64,64,True,True,0.06348500000001422,0.05966599999999289,30970,6558,2930,18903
32,128,128,False,False,0.13553200000001198,0.25802299999998013,89353,8409,3656,73547
32,128,128,False,True,0.09060699999997723,0.2263350000000628,92604,8495,3875,76187
32,128,128,True,False,0.08151999999995496,0.2268170000000964,87715,8498,3205,72479
32,128,128,True,True,0.08125299999994695,0.244132000000036,89476,9012,3005,73740
32,192,192,False,False,0.1706610000001092,0.5576489999999694,181588,10129,4491,161570
32,192,192,False,True,0.1365809999999783,0.5075809999999592,191058,10320,4547,170459
32,192,192,True,False,0.145375999999942,0.5158619999999701,181543,10674,3962,161690
32,192,192,True,True,0.12976400000002286,0.5129130000000259,185173,11170,3619,165073
32,256,256,False,False,0.25938299999995706,0.971445000000017,314616,13149,4734,288077
32,256,256,False,True,0.25702099999989514,0.9346479999999247,329442,12993,4999,301925
32,256,256,True,False,0.18276700000001256,0.8954069999999774,314053,13477,4425,287510
32,256,256,True,True,0.20848799999998846,0.8944200000000819,321325,13733,4145,294960
32,512,512,False,False,0.8280339999998887,3.5709170000000086,1212129,24651,6033,1156224
32,512,512,False,True,0.5909929999997985,3.610118000000057,1264442,24676,6141,1207448
32,512,512,True,False,0.6325030000000424,3.6337620000001607,1207569,25147,6408,1150693
32,512,512,True,True,0.5838659999999436,3.5399069999998574,1229494,25614,5583,1173488
