m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
8,8,8,False,True,0.041001999998115934,0.021416999996290542,8754,142,5495,1055
16,16,16,False,True,0.04047500000160653,0.004751000000396743,6876,454,3223,1301
32,32,32,False,True,0.041807999994489364,0.017653999995673075,13424,2227,3586,5450
32,48,64,False,True,0.07080100000894163,0.038843999995151535,24982,5969,3308,13471
64,64,64,False,True,0.06641200000012759,0.0927230000088457,63752,15548,6901,37728
128,128,128,False,True,0.11613500000385102,0.9090729999879841,379970,45038,16632,304282
256,256,256,False,True,0.4220919999934267,6.788931000002776,2763808,172451,47391,2445486
512,512,512,False,True,1.871837000013329,52.032059000004665,20988943,657567,145510,19617966
