n_mm,m,n,k
1,12544,64,147
2,3136,64,576
3,3136,64,576
4,3136,64,576
5,3136,64,576
6,784,128,576
7,784,128,1152
8,784,128,64
9,784,128,1152
10,784,128,1152
11,196,256,1152
12,196,256,2304
13,196,256,128
14,196,256,2304
15,196,256,2304
16,49,512,2304
17,49,512,4608
18,49,512,256
19,49,512,4608
20,49,512,4608
