[CONV_TIMER] ===== SUMMARY =====
[CONV_TIMER] Im2col: 1407580 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 4849484 us
[CONV_TIMER] Total_Conv: 6257997 us
[CONV_TIMER] Im2col: 1261292 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2609020 us
[CONV_TIMER] Total_Conv: 3871254 us
[CONV_TIMER] Im2col: 1376686 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2682204 us
[CONV_TIMER] Total_Conv: 4059829 us
[CONV_TIMER] Im2col: 1220627 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2641682 us
[CONV_TIMER] Total_Conv: 3863244 us
[CONV_TIMER] Im2col: 1268409 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2680216 us
[CONV_TIMER] Total_Conv: 3949565 us
[CONV_TIMER] Im2col: 1241479 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2752437 us
[CONV_TIMER] Total_Conv: 3994856 us
[CONV_TIMER] Im2col: 1310897 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2636898 us
[CONV_TIMER] Total_Conv: 3950788 us
[CONV_TIMER] Im2col: 348039 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 982496 us
[CONV_TIMER] Total_Conv: 1333910 us
[CONV_TIMER] Im2col: 645012 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1585161 us
[CONV_TIMER] Total_Conv: 2231107 us
[CONV_TIMER] Im2col: 40387 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 449426 us
[CONV_TIMER] Total_Conv: 490738 us
[CONV_TIMER] Im2col: 593911 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1595920 us
[CONV_TIMER] Total_Conv: 2192793 us
[CONV_TIMER] Im2col: 607698 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1618495 us
[CONV_TIMER] Total_Conv: 2227138 us
[CONV_TIMER] Im2col: 659060 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1649367 us
[CONV_TIMER] Total_Conv: 2309361 us
[CONV_TIMER] Im2col: 638962 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1588311 us
[CONV_TIMER] Total_Conv: 2228204 us
[CONV_TIMER] Im2col: 588841 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1637624 us
[CONV_TIMER] Total_Conv: 2227400 us
[CONV_TIMER] Im2col: 646195 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1554023 us
[CONV_TIMER] Total_Conv: 2201162 us
[CONV_TIMER] Im2col: 196939 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 810300 us
[CONV_TIMER] Total_Conv: 1008177 us
[CONV_TIMER] Im2col: 326720 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1439986 us
[CONV_TIMER] Total_Conv: 1767629 us
[CONV_TIMER] Im2col: 20663 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 249607 us
[CONV_TIMER] Total_Conv: 271189 us
[CONV_TIMER] Im2col: 306054 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1400994 us
[CONV_TIMER] Total_Conv: 1707979 us
[CONV_TIMER] Im2col: 331502 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1505315 us
[CONV_TIMER] Total_Conv: 1837748 us
[CONV_TIMER] Im2col: 300570 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1420119 us
[CONV_TIMER] Total_Conv: 1721636 us
[CONV_TIMER] Im2col: 304149 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1432491 us
[CONV_TIMER] Total_Conv: 1737571 us
[CONV_TIMER] Im2col: 308645 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1422221 us
[CONV_TIMER] Total_Conv: 1731814 us
[CONV_TIMER] Im2col: 331329 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1392276 us
[CONV_TIMER] Total_Conv: 1728149 us
[CONV_TIMER] Im2col: 333456 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1437003 us
[CONV_TIMER] Total_Conv: 1771402 us
[CONV_TIMER] Im2col: 317868 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1466163 us
[CONV_TIMER] Total_Conv: 1784960 us
[CONV_TIMER] Im2col: 327610 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1427287 us
[CONV_TIMER] Total_Conv: 1755836 us
[CONV_TIMER] Im2col: 351732 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1400080 us
[CONV_TIMER] Total_Conv: 1752750 us
[CONV_TIMER] Im2col: 81903 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1386678 us
[CONV_TIMER] Total_Conv: 1469514 us
[CONV_TIMER] Im2col: 168409 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2920919 us
[CONV_TIMER] Total_Conv: 3090259 us
[CONV_TIMER] Im2col: 10260 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 272456 us
[CONV_TIMER] Total_Conv: 283629 us
[CONV_TIMER] Im2col: 172006 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2734270 us
[CONV_TIMER] Total_Conv: 2907220 us
[CONV_TIMER] Im2col: 170707 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2772908 us
[CONV_TIMER] Total_Conv: 2946600 us
[CONV_TIMER] Im2col: 169789 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2899329 us
[CONV_TIMER] Total_Conv: 3070045 us
[CONV_TIMER] Im2col: 177266 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2730058 us
[CONV_TIMER] Total_Conv: 2908261 us
