tot dma issue compute
15868087 1570795 2098481 10952977
12416525 1052107 487457 10014330
12418271 1069632 481252 10002072
12429323 1058056 491903 10014128
12446876 1060852 493019 10021045
5436148 217002 143964 4821251
11922172 732164 191555 10117332
839929 138236 114922 529161
12006629 912779 182224 10044528
11947084 841366 183445 10070534
6416698 661030 91746 5195859
12614492 1393913 94444 10316276
724045 75514 53477 549944
12617051 1394393 90340 10339100
12650564 1438928 92203 10292386
6588299 437724 44582 5601699
13175396 933120 44410 11201153
702838 39424 24120 603747
13198627 977054 45192 11252447
13079687 860521 44088 11164731
