tot dma issue compute
13868973 1817506 697709 10512360
11023597 507409 166395 9784362
11003397 504697 166895 9766405
10999542 506001 167652 9761595
11006377 505466 166964 9769813
5201230 157483 51615 4772096
10198647 181162 51786 9547478
743890 136432 46881 520398
10200329 181041 52080 9543271
10200192 180894 51850 9539800
5252194 99566 21219 4898267
10430041 153207 21439 9801789
649531 52371 21012 540124
10445188 157921 20694 9825516
10432390 153926 21529 9804394
5704529 51210 9923 5421933
11453148 84339 9949 10922999
663374 21328 9419 604492
11406047 84843 9757 10873932
11402615 84899 9461 10875373
